name;ans_freq;report_id
IBB135 Project management 2013/2014 LP2-LP2;32 (41,56%);2728
IBB135 Project management 2014/2015 LP2-LP2;58 (66,67%);4429
IBB135 Project management 2015/2016 LP2-LP2;26 (30,95%);7150
IBB136 Project management 2016/2017 LP2-LP2;24 (25,81%);9563
IBB136 Project management 2016/2017 LP4-LP4;18 (23,38%);10587
IBB136 Project management 2017/2018 LP2-LP2;21 (36,21%);11582
IBB136 Project management 2017/2018 LP4-LP4;20 (23,81%);12583
IPE061 Risk management and safety 2013/2014 LP2-LP2;17 (30,91%);2766
IPE062 Risk management and safety 2014/2015 LP2-LP2;24 (40,68%);4915
MPP126 Product development project 2013/2014 LP3-LP4;32 (51,61%);3334
MPP126 Product development project 2014/2015 LP3-LP4;18 (40,91%);5636
MPP126 Product development project 2015/2016 LP3-LP4;27 (51,92%);8070
MPP126 Product development project 2016/2017 LP3-LP4;24 (43,64%);10421
MPP126 Product development project 2017/2018 LP3-LP4;38 (43,68%);12537
TEK020 Platform development and modularization management 2013/2014 LP2-LP2;4 (28,57%);2932
TEK020 Platform development and modularization management 2014/2015 LP2-LP2;20 (44,44%);4597
TEK020 Platform development and modularization management 2015/2016 LP2-LP2;9 (33,33%);6776
TEK020 Platform development and modularization management 2016/2017 LP2-LP2;12 (42,86%);9207
TEK020 Platform development and modularization management 2017/2018 LP2-LP2;6 (19,35%);11272
TEK145 Quality and operations management 2013/2014 LP1-LP1;26 (45,61%);2204
TEK145 Quality and operations management 2014/2015 LP1-LP1;24 (53,33%);3909
TEK145 Quality and operations management 2015/2016 LP1-LP1;30 (54,55%);6115
TEK145 Quality and operations management 2016/2017 LP1-LP1;26 (45,61%);8539
TEK145 Quality and operations management 2017/2018 LP1-LP1;35 (57,38%);11077
TEK150 Integrated product development 2013/2014 LP2-LP2;34 (61,82%);2438
TEK150 Integrated product development 2014/2015 LP2-LP2;20 (43,48%);4757
TEK150 Integrated product development 2015/2016 LP2-LP2;20 (36,36%);7080
TEK150 Integrated product development 2016/2017 LP2-LP2;16 (28,07%);9017
TEK150 Integrated product development 2017/2018 LP2-LP2;27 (49,09%);11670
TEK156 Operations strategy 2013/2014 LP3-LP3;34 (58,62%);1501
TEK156 Operations strategy 2014/2015 LP3-LP3;11 (28,21%);5299
TEK156 Operations strategy 2015/2016 LP3-LP3;27 (52,94%);7318
TEK156 Operations strategy 2016/2017 LP3-LP3;21 (39,62%);9693
TEK156 Operations strategy 2017/2018 LP3-LP3;29 (48,33%);12039
TEK161 Design for quality 2013/2014 LP2-LP2;33 (61,11%);2700
TEK161 Design for quality 2014/2015 LP2-LP2;22 (46,81%);4571
TEK161 Design for quality 2015/2016 LP2-LP2;25 (47,17%);6742
TEK161 Design for quality 2016/2017 LP2-LP2;16 (29,63%);9117
TEK161 Design for quality 2017/2018 LP2-LP2;31 (53,45%);11550
TEK165 Operations improvement project 2013/2014 LP3-LP4;4 (66,67%);3390
TEK165 Operations improvement project 2015/2016 LP3-LP4;3 (42,86%);8082
TEK165 Operations improvement project 2016/2017 LP3-LP4;3 (60,00%);10427
TEK165 Operations improvement project 2017/2018 LP3-LP4;3 (21,43%);12541
