name;ans_freq;report_id
DAT405 Introduction to data science and AI 2022/2023 LP1-LP1;54 (27,14%);22350
DAT445 Introductory course in programming 2020/2021 LP3-LP3;60 (42,55%);19175
DAT445 Introductory course in programming 2021/2022 LP3-LP3;54 (36,73%);21255
EEN075 Medicinsk elektronik 2020/2021 LP4-LP4;29 (46,77%);19696
EEN075 Medicinsk elektronik 2021/2022 LP4-LP4;20 (32,79%);21819
EEN080 Inledande medicinteknik 2020/2021 LP1-LP2;39 (60,94%);18683
EEN080 Inledande medicinteknik 2021/2022 LP1-LP2;27 (39,13%);20533
EEN085 Medicin för tekniker 2020/2021 LP1-LP2;40 (62,50%);18707
EEN085 Medicin för tekniker 2021/2022 LP1-LP2;26 (37,68%);20599
EEN160 Medicintekniska system 2021/2022 LP4-LP4;19 (35,85%);22129
EEN165 Inledande digital hälsa 2021/2022 LP2-LP2;47 (85,45%);20296
EEN170 Kliniska studier och etik 2021/2022 LP3-LP3;36 (66,67%);21493
MCC160 Grundläggande fysik 2020/2021 LP4-LP4;28 (45,16%);19718
MCC160 Grundläggande fysik 2022/2023 LP1-LP1;25 (44,64%);22430
MCC175 Modern fysik 2021/2022 LP2-LP2;19 (34,55%);20945
SEE120 Medical image processing 2021/2022 LP4-LP4;17 (32,08%);22127
SSY051 Reglerteknik 2022/2023 LP1-LP1;32 (21,48%);22260
TMA044 Flervariabelanalys 2021/2022 LP1-LP1;48 (34,04%);19866
TMA044 Flervariabelanalys 2021/2022 LP4-LP4;34 (20,99%);22135
TMA982 Linjära system och transformer 2021/2022 LP3-LP3;64 (41,83%);21177
TMS146 Grundkurs i matematisk statistik 2021/2022 LP1-LP1;44 (35,20%);20008
TMS146 Grundkurs i matematisk statistik 2022/2023 LP1-LP1;40 (33,61%);22284
TMV137 Matematisk analys i en variabel 2020/2021 LP2-LP2;73 (48,03%);18481
TMV137 Matematisk analys i en variabel 2021/2022 LP2-LP2;37 (23,57%);20671
TMV143 Linjär algebra 2020/2021 LP3-LP3;68 (49,28%);18887
TMV143 Linjär algebra 2021/2022 LP3-LP3;53 (35,10%);21143
TMV157 Inledande matematik 2020/2021 LP1-LP1;74 (52,11%);17653
TMV157 Inledande matematik 2021/2022 LP1-LP1;73 (46,50%);19816
TMV157 Inledande matematik 2022/2023 LP1-LP1;70 (44,30%);22618
