name;ans_freq;report_id
VTA073 Sound and vibration measurement 2013/2014 LP1-LP2;10 (43,48%);2908
VTA073 Sound and vibration measurement 2014/2015 LP1-LP2;13 (54,17%);4575
VTA073 Sound and vibration measurement 2015/2016 LP1-LP2;12 (52,17%);6748
VTA073 Sound and vibration measurement 2016/2017 LP1-LP2;6 (28,57%);9121
VTA073 Sound and vibration measurement 2017/2018 LP1-LP2;13 (56,52%);11204
VTA081 Technical acoustics 1 2013/2014 LP2-LP2;9 (45,00%);2872
VTA081 Technical acoustics 1 2014/2015 LP2-LP2;11 (39,29%);4841
VTA081 Technical acoustics 1 2015/2016 LP2-LP2;10 (43,48%);6994
VTA081 Technical acoustics 1 2016/2017 LP2-LP2;5 (16,67%);8965
VTA081 Technical acoustics 1 2017/2018 LP2-LP2;13 (56,52%);11628
VTA091 Technical acoustics 2 2013/2014 LP3-LP4;7 (53,85%);3514
VTA091 Technical acoustics 2 2014/2015 LP3-LP4;12 (75,00%);5952
VTA091 Technical acoustics 2 2015/2016 LP3-LP4;9 (56,25%);8122
VTA091 Technical acoustics 2 2016/2017 LP3-LP4;10 (52,63%);10149
VTA091 Technical acoustics 2 2017/2018 LP3-LP4;11 (52,38%);12763
VTA125 Building acoustics and community noise 2013/2014 LP4-LP4;11 (39,29%);3368
VTA125 Building acoustics and community noise 2014/2015 LP4-LP4;17 (68,00%);5752
VTA125 Building acoustics and community noise 2015/2016 LP4-LP4;9 (34,62%);7934
VTA125 Building acoustics and community noise 2016/2017 LP4-LP4;14 (56,00%);10277
VTA125 Building acoustics and community noise 2017/2018 LP4-LP4;15 (50,00%);12427
VTA130 Active noise control 2013/2014 LP1-LP1;9 (42,86%);2212
VTA130 Active noise control 2014/2015 LP1-LP1;7 (46,67%);3913
VTA130 Active noise control 2015/2016 LP1-LP1;7 (50,00%);6119
VTA130 Active noise control 2016/2017 LP1-LP1;4 (25,00%);8541
VTA131 Active noise control 2017/2018 LP1-LP1;7 (53,85%);11123
VTA135 Audio technology and acoustics 2013/2014 LP1-LP1;14 (56,00%);2196
VTA135 Audio technology and acoustics 2014/2015 LP1-LP1;15 (41,67%);3901
VTA135 Audio technology and acoustics 2015/2016 LP1-LP1;16 (41,03%);6109
VTA135 Audio technology and acoustics 2016/2017 LP1-LP1;13 (40,63%);8535
VTA136 Audio technology and acoustics 2017/2018 LP1-LP1;21 (70,00%);11121
VTA141 Electroacoustics 2013/2014 LP2-LP2;15 (65,22%);2772
VTA141 Electroacoustics 2014/2015 LP2-LP2;7 (70,00%);4463
VTA141 Electroacoustics 2015/2016 LP2-LP2;8 (61,54%);6660
VTA141 Electroacoustics 2016/2017 LP2-LP2;5 (23,81%);9163
VTA141 Electroacoustics 2017/2018 LP2-LP2;11 (52,38%);11240
VTA145 Room acoustics 2013/2014 LP3-LP4;7 (43,75%);3570
VTA145 Room acoustics 2014/2015 LP3-LP4;12 (66,67%);5784
VTA145 Room acoustics 2015/2016 LP3-LP4;9 (56,25%);7958
VTA145 Room acoustics 2016/2017 LP3-LP4;12 (60,00%);10345
VTA145 Room acoustics 2017/2018 LP3-LP4;12 (50,00%);12601
VTA151 Individual preparation course 2013/2014 LP1-LP2;7 (36,84%);2524
VTA151 Individual preparation course 2014/2015 LP1-LP2;11 (50,00%);4689
VTA151 Individual preparation course 2015/2016 LP1-LP2;10 (47,62%);7186
VTA151 Individual preparation course 2016/2017 LP1-LP2;5 (25,00%);9379
VTA151 Individual preparation course 2017/2018 LP1-LP2;12 (60,00%);11398
VTA155 Design of silent products 2013/2014 LP1-LP2;9 (52,94%);2896
VTA155 Design of silent products 2014/2015 LP1-LP2;7 (46,67%);4863
VTA155 Design of silent products 2015/2016 LP1-LP2;5 (50,00%);7058
VTA155 Design of silent products 2017/2018 LP1-LP2;6 (50,00%);11616
