name;ans_freq;report_id
DAT094 Design of digital electronic systems 2021/2022 LP1-LP1;14 (56,00%);19972
DAT094 Design of digital electronic systems 2022/2023 LP1-LP1;11 (42,31%);22454
DAT105 Computer architecture 2019/2020 LP1-LP1;15 (22,06%);15416
DAT105 Computer architecture 2020/2021 LP1-LP1;28 (34,15%);17527
DAT105 Computer architecture 2021/2022 LP1-LP1;24 (35,82%);20110
DAT105 Computer architecture 2022/2023 LP1-LP1;26 (34,67%);22374
DAT147 Technical writing in Computer Systems and Networks 2020/2021 LP1-LP1;15 (23,81%);17583
DAT147 Technical writing in Computer Systems and Networks 2021/2022 LP1-LP1;27 (36,99%);20200
DAT147 Technical writing in Computer Systems and Networks 2022/2023 LP1-LP1;20 (31,25%);22256
DAT205 Advanced computer graphics 2019/2020 LP4-LP4;7 (22,58%);17391
DAT205 Advanced computer graphics 2020/2021 LP4-LP4;13 (35,14%);19284
DAT205 Advanced computer graphics 2021/2022 LP4-LP4;6 (20,00%);21971
DAT246 Empirical software engineering 2019/2020 LP2-LP2;18 (21,95%);16003
DAT246 Empirical software engineering 2020/2021 LP2-LP2;23 (27,71%);18587
DAT246 Empirical software engineering 2021/2022 LP1-LP1;30 (30,61%);20084
DAT246 Empirical software engineering 2022/2023 LP1-LP1;27 (27,84%);22534
DAT278 Sustainable computing 2019/2020 LP2-LP2;11 (34,38%);16393
DAT278 Sustainable computing 2020/2021 LP2-LP2;10 (31,25%);18073
DAT278 Sustainable computing 2021/2022 LP2-LP2;13 (34,21%);20729
DAT280 Parallel functional programming 2019/2020 LP4-LP4;20 (37,74%);17119
DAT280 Parallel functional programming 2020/2021 LP4-LP4;14 (31,82%);19604
DAT280 Parallel functional programming 2021/2022 LP4-LP4;10 (25,00%);22031
DAT300 Data-driven support for cyber-physical systems 2021/2022 LP1-LP1;12 (60,00%);19754
DAT300 Data-driven support for cyber-physical systems 2022/2023 LP1-LP1;4 (40,00%);22542
DAT340 Applied Machine Learning 2020/2021 LP4-LP4;26 (21,85%);19676
DAT340 Applied Machine Learning 2021/2022 LP3-LP3;33 (30,28%);21459
DAT340 Applied Machine Learning 2021/2022 LP4-LP4;5 (5,05%);21667
DAT385 Introduction to game research 2021/2022 LP1-LP1;18 (35,29%);19912
DAT385 Introduction to game research 2022/2023 LP1-LP1;9 (21,43%);22400
DAT400 High-performance parallel programming 2019/2020 LP1-LP1;10 (26,32%);15724
DAT400 High-performance parallel programming 2020/2021 LP1-LP1;21 (36,21%);17531
DAT400 High-performance parallel programming 2021/2022 LP1-LP1;14 (35,00%);20128
DAT400 High-performance parallel programming 2022/2023 LP1-LP1;11 (28,95%);22602
DAT405 Introduction to data science and AI 2020/2021 LP3-LP3;70 (37,63%);19159
DAT405 Introduction to data science and AI 2021/2022 LP3-LP3;55 (20,99%);21247
DAT410 Design of AI systems 2021/2022 LP3-LP3;24 (22,22%);21363
DAT480 Reconfigurable computing 2021/2022 LP2-LP2;11 (68,75%);20941
EDA093 Operating systems 2020/2021 LP1-LP1;37 (36,63%);17463
EDA093 Operating systems 2021/2022 LP1-LP1;39 (33,91%);20030
EDA093 Operating systems 2022/2023 LP1-LP1;49 (33,79%);22532
EDA223 Real time systems 2019/2020 LP3-LP3;22 (44,90%);16828
EDA223 Real time systems 2020/2021 LP3-LP3;24 (42,11%);19023
EDA223 Real time systems 2021/2022 LP3-LP3;18 (32,73%);21083
EDA263 Computer security 2019/2020 LP3-LP3;50 (30,49%);16552
EDA263 Computer security 2020/2021 LP3-LP3;39 (29,55%);19061
EDA263 Computer security 2021/2022 LP3-LP3;32 (26,02%);21165
EDA284 Parallel computer architecture 2019/2020 LP3-LP3;10 (43,48%);16800
EDA284 Parallel computer architecture 2020/2021 LP3-LP3;12 (44,44%);18775
EDA284 Parallel computer architecture 2021/2022 LP3-LP3;12 (42,86%);21367
EDA344 Computer communication 2019/2020 LP3-LP3;13 (24,53%);16622
EDA344 Computer communication 2020/2021 LP3-LP3;14 (29,17%);19133
EDA344 Computer communication 2021/2022 LP3-LP3;5 (12,50%);21461
EDA387 Computer networks 2020/2021 LP1-LP1;31 (31,00%);17803
EDA387 Computer networks 2021/2022 LP1-LP1;28 (38,36%);20020
EDA387 Computer networks 2022/2023 LP1-LP1;34 (35,79%);22300
EDA423 Dependable Real-Time Systems 2019/2020 LP4-LP4;9 (40,91%);17407
EDA423 Dependable Real-Time Systems 2020/2021 LP4-LP4;8 (32,00%);19268
EDA423 Dependable Real-Time Systems 2021/2022 LP4-LP4;6 (22,22%);21933
EEN020 Computer vision 2019/2020 LP2-LP2;32 (26,89%);16187
EEN020 Computer vision 2020/2021 LP2-LP2;25 (26,60%);18375
EEN020 Computer vision 2021/2022 LP2-LP2;29 (27,62%);20513
EEN035 Modelling and simulation in biomedical engineering 2021/2022 LP1-LP1;18 (39,13%);20108
