name;ans_freq;report_id
ACE235 Geoteknik 2022/2023 LP1-LP1;10 (66,67%);22720
DAT405 Introduction to data science and AI 2021/2022 LP4-LP4;39 (13,64%);22181
DAT435 Tillämpat matematiskt tänkande 2020/2021 LP2-LP2;53 (63,86%);18677
DAT435 Tillämpat matematiskt tänkande 2021/2022 LP2-LP2;41 (63,08%);20525
DAT500 Matematisk modellering och problemlösning 2021/2022 LP1-LP1;26 (41,94%);20270
DAT500 Matematisk modellering och problemlösning 2022/2023 LP1-LP1;32 (50,79%);22446
DAT505 Intoductory course in programming 2021/2022 LP1-LP1;20 (31,25%);20274
DAT505 Intoductory course in programming 2022/2023 LP1-LP1;31 (46,27%);22648
FUF040 Kvantfysik 2022/2023 LP1-LP1;51 (39,23%);22262
MTF053 Fluid mechanics 2022/2023 LP1-LP1;47 (25,41%);22650
MVE295 Komplex analys 2022/2023 LP1-LP1;25 (26,32%);22274
MVE620 Envariabelanalys 2020/2021 LP1-LP1;38 (58,46%);17953
MVE620 Envariabelanalys 2021/2022 LP1-LP1;38 (57,58%);19942
MVE620 Envariabelanalys 2022/2023 LP1-LP1;39 (57,35%);22508
MVE625 Beräkningsverktyg 2020/2021 LP1-LP1;45 (65,22%);17955
MVE625 Beräkningsverktyg 2021/2022 LP1-LP1;36 (55,38%);19928
MVE626 Beräkningsverktyg 2022/2023 LP1-LP1;43 (63,24%);22732
MVE650 Statistik och sannolikhetsteori 2021/2022 LP3-LP3;32 (53,33%);21497
MVE655 Flervariabelanalys 2021/2022 LP2-LP2;30 (47,62%);20997
SEE060 Jorden som system 2020/2021 LP4-LP4;28 (43,08%);19700
SEE060 Jorden som system 2021/2022 LP4-LP4;29 (45,31%);21845
SEE065 Ordning och oordning i fysikaliska system 2020/2021 LP3-LP3;37 (56,06%);19167
SEE065 Ordning och oordning i fysikaliska system 2021/2022 LP3-LP3;35 (54,69%);21273
SEE070 Introduktion till globala system 2020/2021 LP1-LP3;31 (45,59%);19169
SEE070 Introduktion till globala system 2021/2022 LP1-LP3;31 (46,97%);21275
SEE075 Evolution och självorganisation i biologiska system 2020/2021 LP3-LP3;37 (55,22%);19171
SEE075 Evolution och självorganisation i biologiska system 2021/2022 LP3-LP3;38 (59,38%);21239
SEE080 Mekanik 2020/2021 LP2-LP2;50 (75,76%);18689
SEE080 Mekanik 2021/2022 LP2-LP2;44 (69,84%);20535
SEE085 Linjär algebra och experimentell matematik 2020/2021 LP4-LP4;26 (40,63%);19704
SEE085 Linjär algebra och experimentell matematik 2021/2022 LP4-LP4;28 (44,44%);21869
SEE105 Elektromagnetiska fält och vågor 2021/2022 LP3-LP3;41 (68,33%);21491
SEE110 Klimatmodellering 2021/2022 LP1-LP1;31 (50,00%);20254
SEE110 Klimatmodellering 2022/2023 LP1-LP1;31 (49,21%);22244
SEE130 Etiska perspektiv på globala system 2021/2022 LP2-LP2;35 (55,56%);20999
TEK760 Innovation and sustainability transitions 2022/2023 LP1-LP1;41 (65,08%);22694
TEK915 Samhället som system 2021/2022 LP4-LP4;27 (43,55%);22131
TEK920 Tekniska system för energi, material och information 2021/2022 LP2-LP2;37 (59,68%);20947
TMA947 Nonlinear optimisation 2022/2023 LP1-LP1;81 (33,20%);22252
